Frequenza,Territorio,Indicatore,Sesso,Età,Stato civile,TIME_PERIOD,Osservazione,'Stato dell"'osservazione'
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2019,7526,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2020,7165,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2021,6962,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2022,6971,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2023,6856,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2024,6533,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2025,6619,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2019,7671,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2020,7666,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2021,7211,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2022,6987,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2023,7053,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2024,6908,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2025,6582,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2019,8076,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2020,7705,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2021,7666,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2022,7216,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2023,7009,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2024,7066,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2025,6978,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2019,8316,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2020,8094,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2021,7698,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2022,7663,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2023,7252,
